title,read_num,like_num,comment_num,0,1,2,3
,,,,机器学习之Logistic Regression,10.0,0.0,1.0
,,,,机器学习之线性回归,11.0,0.0,0.0
,,,,用python制作简易中国象棋程序,19.0,0.0,1.0
,,,,早起小语（788-809）,13.0,0.0,1.0
,,,,简易中国象棋程序的制作,14.0,0.0,0.0
,,,,记得自己的初衷,33.0,0.0,0.0
,,,,中国象棋棋盘的绘制,24.0,0.0,1.0
,,,,《红楼梦》人物赏析——赵姨娘、贾环,417.0,0.0,0.0
,,,,《红楼梦》人物赏析——探春,159.0,0.0,0.0
,,,,《红楼梦》人物赏析——平儿,589.0,1.0,0.0
,,,,《红楼梦》人物赏析——香菱、迎春,194.0,1.0,0.0
,,,,《红楼梦》人物赏析——贾琏,1770.0,4.0,2.0
,,,,《红楼梦》人物赏析——贾雨村,5739.0,10.0,8.0
,,,,早起小语（771-787）,32.0,0.0,1.0
,,,,多年父子成兄弟,80.0,2.0,1.0
,,,,搜索系统和推荐系统常识,49.0,0.0,0.0
,,,,读《银川棋路》有感,59.0,0.0,0.0
,,,,对个人毕设的一点总结,59.0,0.0,1.0
,,,,推荐系统的热点问题和研究方向,70.0,0.0,0.0
,,,,推荐系统（1）,135.0,0.0,1.0
,,,,更美的早起小语（736-770）,31.0,0.0,2.0
,,,,早起，遇见更好的自己(650-735),117.0,1.0,1.0
,,,,马上要毕业了，我从大学学到了什么,51.0,0.0,0.0
,,,,【20240522~20240623】组内小语,13.0,1.0,1.0
,,,,读《我的二本学生》有感,99.0,0.0,0.0
,,,,白鹿原下我的家,18.0,0.0,0.0
,,,,我的故事,16.0,0.0,0.0
,,,,几个挽联,38.0,0.0,0.0
,,,,真诚求工作,24.0,0.0,0.0
,,,,胰岛素抵抗,10.0,0.0,0.0
,,,,咖啡的世界史,8.0,0.0,1.0
,,,,你的孤独，虽败犹荣,13.0,0.0,0.0
,,,,盛夏方程式,7.0,0.0,1.0
,,,,【20240416~20240521】组内小语,9.0,0.0,0.0
,,,,阅读发言,4.0,0.0,0.0
,,,,爱因斯坦大事记（1879~1900）,13.0,0.0,0.0
,,,,个人脑海里的时代变化,6.0,0.0,0.0
,,,,挑战一句（段）话概括大学上过的课,38.0,1.0,1.0
,,,,一般的五次方程是否有通用的根式求解？,23.0,0.0,0.0
,,,,我们能从香农身上学到什么,8.0,0.0,0.0
,,,,贝叶斯公式与人工智能,50.0,0.0,0.0
,,,,终成眷属的电与磁,18.0,0.0,0.0
,,,,向少年犯罪说不，积极成长,13.0,0.0,0.0
,,,,为祖国健康工作五十年,8.0,0.0,0.0
,,,,中国象棋读谱和记录,54.0,1.0,0.0
,,,,个人关注的哔哩哔哩UP主,2885.0,1.0,0.0
,,,,运动记录,5.0,0.0,0.0
,,,,读书札记,45.0,0.0,0.0
,,,,香农传,4.0,0.0,0.0
,,,,风雨哈佛路,10.0,0.0,0.0
,,,,一个人的朝圣,6.0,0.0,0.0
,,,,Mathematica的简单使用,45.0,0.0,0.0
,,,,中国古代一些著名的数学家,71.0,1.0,0.0
,,,,中日两国自二战以后获诺奖的情况（截止到2023年）,23.0,0.0,0.0
,,,,东野圭吾部分小说的梳理,16.0,0.0,0.0
,,,,一个关于诺奖的奇迹,15.0,0.0,0.0
,,,,关于运筹学,84.0,0.0,0.0
,,,,线性代数的前世今生,738.0,1.0,0.0
,,,,微积分的历程,338.0,1.0,0.0
,,,,软件工程——类图,8.0,0.0,0.0
,,,,汉武帝：千秋功过,17.0,0.0,0.0
,,,,毕业论文20240206——DAY1,22.0,0.0,0.0
,,,,海是藏不住的,20.0,0.0,0.0
,,,,人生,18.0,0.0,0.0
,,,,邓小平传,0.0,0.0,0.0
,,,,邓小平传,0.0,0.0,0.0
,,,,不负我心,13.0,0.0,0.0
,,,,我所理解的生活,9.0,0.0,0.0
,,,,围城,19.0,0.0,0.0
,,,,君主论,16.0,0.0,0.0
,,,,苏东坡传,14.0,0.0,0.0
,,,,运筹学简史,75.0,0.0,0.0
,,,,人生三愿,13.0,0.0,0.0
,,,,不回头,13.0,0.0,0.0
,,,,给谁看,7.0,0.0,0.0
,,,,过去的锋芒毕露,9.0,0.0,0.0
,,,,你想成为怎样的人,11.0,0.0,0.0
,,,,你不会年轻很久,11.0,1.0,0.0
,,,,万历十五年,16.0,0.0,0.0
,,,,人生的岔路口,13.0,0.0,0.0
,,,,清贫,8.0,0.0,0.0
,,,,寂寞,6.0,0.0,0.0
,,,,读书何用,8.0,0.0,0.0
,,,,30集以外的亮剑,11.0,0.0,0.0
,,,,洪秀全失败,1802.0,18.0,0.0
,,,,你被包围了,7.0,0.0,0.0
,,,,站着上北大,1097.0,7.0,0.0
,,,,少年时的爱恋,11.0,0.0,0.0
,,,,Stay Real,11.0,0.0,0.0
,,,,山楂树之恋,8.0,0.0,0.0
,,,,叔本华的生平轶事,16.0,0.0,0.0
,,,,奇鸟行状录,5.0,0.0,0.0
,,,,坦然走过乞丐,9.0,0.0,0.0
,,,,大秦帝国,1.0,0.0,0.0
,,,,蔡元培传,9.0,0.0,0.0
,,,,学生街的日子,7.0,0.0,0.0
,,,,你知道我在等你吗，如果偶然相遇，我却只能说，原来你也在这里哦,12.0,0.0,0.0
,,,,日常生活,9.0,0.0,0.0
,,,,个人说明,8.0,0.0,0.0
,,,,皮囊,14.0,0.0,0.0
